county_flag|address1|city|state|zip|phone|license_number|number_type|licensee_type_cd
Laframboise Well Drilling Inc.|PO Box 303, 647 Thompson Rd|Thompson|CT|06277|(860) 923-9543|NYRD10936|Registration Number|Water Well Contractor
R. A. DeGrazia Well Co. Inc.|PO Box 7|New Milford|CT|06776-0007|(203) 798-0580|NYRD10400|Registration Number|Water Well Contractor
The Stephen B Church Co.|PO Box 67|Seymour|CT|06483-0067|(203) 888-2132|NYRD10418|Registration Number|Water Well Contractor
Werner Well & Pump Service LLC|78 Candlewood Lake Road North|New Milford|CT|06776-3206|(860) 354-0290|NYRD10805|Registration Number|Water Well Contractor
Wragg Well Drilling and Pump Service LLC|172 Baker Rd|Roxbury|CT|06783-1318|(860) 354-1989|NYRD10140|Registration Number|Water Well Contractor
Kirke R Henshaw, Inc.|PO Box 117, 130 Cummington Rd|West Chesterfield|MA|01084|(413) 296-4725|NYRD10360|Registration Number|Water Well Contractor
Maher Services Inc.|71 Concord St|North Reading|MA|01864|(978) 664-9355|NYRD01663|Registration Number|Water Well Contractor
Laframboise Well Drilling Inc.|PO Box 303, 647 Thompson Rd|Thompson|CT|06277|(860) 923-9543|NYRD10936|Registration Number|Water Well Contractor
Louis E Allyn & Sons, Inc.|PO Box 217, 38 Allyndale Rd|East Canaan|CT|06024-0217|(860) 824-5600|NYRD10420|Registration Number|Water Well Contractor
R. A. DeGrazia Well Co. Inc.|PO Box 7|New Milford|CT|06776-0007|(203) 798-0580|NYRD10400|Registration Number|Water Well Contractor
The Stephen B Church Co.|PO Box 67|Seymour|CT|06483-0067|(203) 888-2132|NYRD10418|Registration Number|Water Well Contractor
Werner Well & Pump Service LLC|78 Candlewood Lake Road North|New Milford|CT|06776-3206|(860) 354-0290|NYRD10805|Registration Number|Water Well Contractor
Kirke R Henshaw, Inc.|PO Box 117, 130 Cummington Rd|West Chesterfield|MA|01084|(413) 296-4725|NYRD10360|Registration Number|Water Well Contractor
Maher Services Inc.|71 Concord St|North Reading|MA|01864|(978) 664-9355|NYRD01663|Registration Number|Water Well Contractor
Starr Hydro Inc.|33 Clinton Road|Sterling|MA|01564|(978) 422-3341|NYRD10952|Registration Number|Water Well Contractor
Comac Pump & Well, LLC|13 New Boston Road, PO Box 425|Kingston|NH|03848|(603) 642-3683|NYRD10954|Registration Number|Water Well Contractor
Connecticut Wells / Geothermal Services Inc.|49 Hard Hill Rd North|Bethlehem|CT|06751|(203) 266-5272|NYRD10200|Registration Number|Water Well Contractor
John Findorak & Sons, Inc.|36 Coley Rd|Wilton|CT|06897-2407|(203) 762-5097|NYRD10038|Registration Number|Water Well Contractor
Laframboise Well Drilling Inc.|PO Box 303, 647 Thompson Rd|Thompson|CT|06277|(860) 923-9543|NYRD10936|Registration Number|Water Well Contractor
Louis E Allyn & Sons, Inc.|PO Box 217, 38 Allyndale Rd|East Canaan|CT|06024-0217|(860) 824-5600|NYRD10420|Registration Number|Water Well Contractor
R. A. DeGrazia Well Co. Inc.|PO Box 7|New Milford|CT|06776-0007|(203) 798-0580|NYRD10400|Registration Number|Water Well Contractor
The Stephen B Church Co.|PO Box 67|Seymour|CT|06483-0067|(203) 888-2132|NYRD10418|Registration Number|Water Well Contractor
Werner Well & Pump Service LLC|78 Candlewood Lake Road North|New Milford|CT|06776-3206|(860) 354-0290|NYRD10805|Registration Number|Water Well Contractor
Wragg Well Drilling and Pump Service LLC|172 Baker Rd|Roxbury|CT|06783-1318|(860) 354-1989|NYRD10140|Registration Number|Water Well Contractor
Connecticut Test Borings, LLC|PO Box 69|Seymour|CT|06483-0069|(203) 888-3857|NYRD10536|Registration Number|Water Well Contractor
General Borings, Inc.|PO Box 7135|Prospect|CT|06712|(203) 758-5817|NYRD10835|Registration Number|Water Well Contractor
Laframboise Well Drilling Inc.|PO Box 303, 647 Thompson Rd|Thompson|CT|06277|(860) 923-9543|NYRD10936|Registration Number|Water Well Contractor
Connecticut Test Borings, LLC|PO Box 69|Seymour|CT|06483-0069|(203) 888-3857|NYRD10536|Registration Number|Water Well Contractor
Laframboise Well Drilling Inc.|PO Box 303, 647 Thompson Rd|Thompson|CT|06277|(860) 923-9543|NYRD10936|Registration Number|Water Well Contractor
Logical Environmental Solutions, LLC|354 South River Road|Tolland|CT|06084-4040|(860) 870-1780|NYRD10512|Registration Number|Water Well Contractor
R. A. DeGrazia Well Co. Inc.|PO Box 7|New Milford|CT|06776-0007|(203) 798-0580|NYRD10400|Registration Number|Water Well Contractor
Connecticut Wells / Geothermal Services Inc.|49 Hard Hill Rd North|Bethlehem|CT|06751|(203) 266-5272|NYRD10200|Registration Number|Water Well Contractor
Eastern Water Solutions|5 Benson Road|Oxford|CT|06478|(203) 264-8183|NYRD10920|Registration Number|Water Well Contractor
Grela Well Drilling Inc.|143 Main Street|Terryville|CT|06786-6219|(860) 583-3237|NYRD10868|Registration Number|Water Well Contractor
Laframboise Well Drilling Inc.|PO Box 303, 647 Thompson Rd|Thompson|CT|06277|(860) 923-9543|NYRD10936|Registration Number|Water Well Contractor
R. A. DeGrazia Well Co. Inc.|PO Box 7|New Milford|CT|06776-0007|(203) 798-0580|NYRD10400|Registration Number|Water Well Contractor
Wragg Well Drilling and Pump Service LLC|172 Baker Rd|Roxbury|CT|06783-1318|(860) 354-1989|NYRD10140|Registration Number|Water Well Contractor
