company_name|license_number|licensee_type_cd|licensee_type_cd|expiration_date|address1/city/state/zip|phone_number_type|phone|qualifying_individual|license_type2
AARCO WIRELESS & ELEC SOLUTIONS|LIC-0010655|07|General Contractor|Class|A|07/10/2015|5415 W 59TH AVE UNIT A ARVADA, CO 80003|303-467-6827|Kenneth Kelly
ABERDEEN CONSTRUCTION INC|LIC-0006181|07|General Contractor|Class|A|03/19/2016|4158 JASON ST DENVER, CO 80211|303-635-2633|Clayton Mohler
ABOVE ALL CLEANING &|LIC-0010193|07|General Contractor|Class|A|03/16/2016|RESTORATION|303-292-5340|Marc Shutto|28|Right-of-Way|03/16/2016
ALVARADO CONSTRUCTION INC|LIC-0003354|07|General Contractor|Class|A|04/17/2015|924 W COLFAX AVE #301 DENVER, CO 80204|303-629-0783|Ira Bowerman
AMA CONSTRUCTION, INC|LIC-0007051|07|General Contractor|Class|A|04/14/2015|4891 INDEPENDENCE ST STE 235 WHEAT RIDGE, CO|303-778-1165|Eero Allison
AMERICAN TECHNOLOGIES, INC|LIC-0010443|07|General Contractor|Class|A|11/13/2015|210 BAYWOOD AVE ORANGE, CA 92865|714-283-9990|Paracorp of CA Incorporated
AP MOUNTAIN STATES LLC|LIC-0002328|07|General Contractor|Class|A|03/22/2016|797 VENTURA ST AURORA, CO 80011|303-363-7101|303-326-5857|Thomas Horsting|28|Right-of-Way|06/24/2015
ART KLEIN CONSTRUCTION INC|LIC-0008294|07|General Contractor|Class|A|09/22/2015|3370 CHELTON LOOP COLORADO SPRINGS, CO 80909|719-570-6060|Mark Mullet
BLACK CONSTRUCTION|LIC-0007001|07|General Contractor|Class|A|01/21/2016|2137 VIVIAN ST LONGMONT, CO 80501|720-203-1952|Michael Schwartz
BLUSKY RESTORATION|LIC-0007327|07|General Contractor|Class|A|05/24/2015|CONTRACTORS INC|970-213-7190|303-789-4258|Terry Shadwick
BOOTS CONSTRUCTION, INC|LIC-0002349|07|General Contractor|Class|A|07/21/2015|4949 S SYRACUSE ST STE 450 DENVER, CO 80237|303-721-5800|James Boots
