entity_name|licensee_type_cd|license_number|status|BLANK|city|zip|county|entity_name|licensee_type_cd|license_number|status|expiration_date|first_issue_date|city|state|zip|county|Action
3F COMPUTERS, INC.|E|73904|CANCELLED||FREMONT|94538|ALAMEDA|3F COMPUTERS, INC.|ELECTRONIC REPAIR|73904|CANCELLED Definition|October   31, 1998|October   02, 1995|FREMONT|CA|94538|ALAMEDA|No
5 STAR SERVICE|A|46866|CLEAR||SAN LEANDRO|94579|ALAMEDA|5 STAR SERVICE|MAJOR APPLIANCE REPAIR|46866|CLEAR Definition|November  30, 2015|November  12, 2014|SAN LEANDRO|CA|94579|ALAMEDA|No
A & A TECHNOLOGY INC.|E|75026|CANCELLED||FREMONT|94538|ALAMEDA|A & A TECHNOLOGY INC.|ELECTRONIC REPAIR|75026|CANCELLED Definition|September 30, 2001|September 10, 1996|FREMONT|CA|94538|ALAMEDA|No
A & B ELECTRONICS SHOP|E|73223|CANCELLED||SAN LEANDRO|94577|ALAMEDA|A & B ELECTRONICS SHOP|ELECTRONIC REPAIR|73223|CANCELLED Definition|January   31, 1998|January   31, 1995|SAN LEANDRO|CA|94577|ALAMEDA|No
A & E FURNACE & APPLIANCE SERVICE|A|41453|CANCELLED||SAN LEANDRO|94579|ALAMEDA|A & E FURNACE & APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|41453|CANCELLED Definition|June      30, 1996|June      03, 1993|SAN LEANDRO|CA|94579|ALAMEDA|No
A & E SIGNATURE SERVICE|C|6248|CANCELLED||HAYWARD|94545|ALAMEDA|A & E SIGNATURE SERVICE|COMBINATION-ELECTRIC AND APPLIANCE REPAIR|6248|CANCELLED Definition|September 30, 2001|March     23, 1964|HAYWARD|CA|94545|ALAMEDA|No
A & E SIGNATURE SERVICE|C|61075|CANCELLED||SAN LEANDRO|94578|ALAMEDA|A & E SIGNATURE SERVICE|COMBINATION-ELECTRIC AND APPLIANCE REPAIR|61075|CANCELLED Definition|September 30, 2001|September 13, 1994|SAN LEANDRO|CA|94578|ALAMEDA|No
A & E SIGNATURE SERVICE|C|61063|CANCELLED||FREMONT|94538|ALAMEDA|A & E SIGNATURE SERVICE|COMBINATION-ELECTRIC AND APPLIANCE REPAIR|61063|CANCELLED Definition|September 30, 2001|September 13, 1994|FREMONT|CA|94538|ALAMEDA|No
A & E SIGNATURE SERVICE|C|61087|CANCELLED||DUBLIN|94568|ALAMEDA|A & E SIGNATURE SERVICE|COMBINATION-ELECTRIC AND APPLIANCE REPAIR|61087|CANCELLED Definition|September 30, 2001|September 13, 1994|DUBLIN|CA|94568|ALAMEDA|No
A & F REFRIGERATION CO.|A|42714|CANCELLED||HAYWARD|94544|ALAMEDA|A & F REFRIGERATION CO.|MAJOR APPLIANCE REPAIR|42714|CANCELLED Definition|October   31, 2005|October   24, 1997|HAYWARD|CA|94544|ALAMEDA|No
A & H SERVICE CO|A|36229|CANCELLED||HAYWARD|94542|ALAMEDA|A & H SERVICE CO|MAJOR APPLIANCE REPAIR|36229|CANCELLED Definition|June      30, 1989|HAYWARD|CA|94542|ALAMEDA|No
A & M TV|E|19353|CANCELLED||ALAMEDA|94501|ALAMEDA|A & M TV|ELECTRONIC REPAIR|19353|CANCELLED Definition|October   31, 1993|July      05, 1978|ALAMEDA|CA|94501|ALAMEDA|No
A 1 ANTENNA INSTALLATIONS|E|76522|CANCELLED||OAKLAND|94621|ALAMEDA|A 1 ANTENNA INSTALLATIONS|ELECTRONIC REPAIR|76522|CANCELLED Definition|April     30, 2004|April     29, 1998|OAKLAND|CA|94621|ALAMEDA|No
A AND M COMPUTERS INC|E|84363|CANCELLED||UNION CITY|94587|ALAMEDA|A AND M COMPUTERS INC|ELECTRONIC REPAIR|84363|CANCELLED Definition|June      30, 2010|June      25, 2008|UNION CITY|CA|94587|ALAMEDA|No
A APPLIANCE SERVICE|A|43818|CLEAR||FREMONT|94536|ALAMEDA|A APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|43818|CLEAR Definition|October   31, 2015|October   10, 2002|FREMONT|CA|94536|ALAMEDA|No
A B REFRIGERATION CO|A|39306|REVOKED||OAKLAND|94612|ALAMEDA|A B REFRIGERATION CO|MAJOR APPLIANCE REPAIR|39306|REVOKED Definition|June      30, 1988|December  02, 1987|OAKLAND|CA|94612|ALAMEDA|No
A BETTER MAINTENANCE CO.|A|39940|CANCELLED||PLEASANTON|94566|ALAMEDA|A BETTER MAINTENANCE CO.|MAJOR APPLIANCE REPAIR|39940|CANCELLED Definition|June      30, 1990|June      21, 1989|PLEASANTON|CA|94566|ALAMEDA|No
A C REPAIR|E|82394|CANCELLED||DUBLIN|94568|ALAMEDA|A C REPAIR|ELECTRONIC REPAIR|82394|CANCELLED Definition|March     31, 2009|March     22, 2006|DUBLIN|CA|94568|ALAMEDA|No
A E B SATELLITE INC|E|85280|CANCELLED||ALAMEDA|94501|ALAMEDA|A E B SATELLITE INC|ELECTRONIC REPAIR|85280|CANCELLED Definition|July      31, 2010|July      06, 2009|ALAMEDA|CA|94501|ALAMEDA|No
A H R|A|42482|CANCELLED||OAKLAND|94621|ALAMEDA|A H R|MAJOR APPLIANCE REPAIR|42482|CANCELLED Definition|December  31, 1997|December  27, 1996|OAKLAND|CA|94621|ALAMEDA|No
A OK APPLIANCE REPAIR|A|44792|CANCELLED||OAKLAND|946181107|ALAMEDA|A OK APPLIANCE REPAIR|MAJOR APPLIANCE REPAIR|44792|CANCELLED Definition|November  30, 2011|November  15, 2006|OAKLAND|CA|94618-1107|ALAMEDA|No
A PLUS HAYWARD ELECTRONICS|E|72016|CANCELLED||HAYWARD|94541|ALAMEDA|A PLUS HAYWARD ELECTRONICS|ELECTRONIC REPAIR|72016|CANCELLED Definition|January   31, 1998|January   13, 1994|HAYWARD|CA|94541|ALAMEDA|No
A PLUS HAYWARD ELECTRONICS|E|78330|CANCELLED||HAYWARD|94541|ALAMEDA|A PLUS HAYWARD ELECTRONICS|ELECTRONIC REPAIR|78330|CANCELLED Definition|May       31, 2012|May       08, 2001|HAYWARD|CA|94541|ALAMEDA|No
A PLUS HAYWARD ELECTRONICS|E|76427|CANCELLED||HAYWARD|94541|ALAMEDA|A PLUS HAYWARD ELECTRONICS|ELECTRONIC REPAIR|76427|CANCELLED Definition|March     31, 2002|March     18, 1998|HAYWARD|CA|94541|ALAMEDA|No
A STREET VCR REPAIR|E|74988|CANCELLED||HAYWARD|94541|ALAMEDA|A STREET VCR REPAIR|ELECTRONIC REPAIR|74988|CANCELLED Definition|September 30, 2006|September 10, 1996|HAYWARD|CA|94541|ALAMEDA|No
A T & T CORP.|E|71954|CANCELLED||SAN LEANDRO|94578|ALAMEDA|A T & T CORP.|ELECTRONIC REPAIR|71954|CANCELLED Definition|June      30, 1996|June      13, 1994|SAN LEANDRO|CA|94578|ALAMEDA|No
A T & T CORP.|E|71923|CANCELLED||NEWARK|94560|ALAMEDA|A T & T CORP.|ELECTRONIC REPAIR|71923|CANCELLED Definition|June      30, 1996|June      13, 1994|NEWARK|CA|94560|ALAMEDA|No
A T & T CORP.|E|71927|CANCELLED||PLEASANTON|945883226|ALAMEDA|A T & T CORP.|ELECTRONIC REPAIR|71927|CANCELLED Definition|June      30, 1996|June      13, 1994|PLEASANTON|CA|94588-3226|ALAMEDA|No
A T & T CORP.|E|71955|CANCELLED||OAKLAND|94612|ALAMEDA|A T & T CORP.|ELECTRONIC REPAIR|71955|CANCELLED Definition|June      30, 1996|June      13, 1994|OAKLAND|CA|94612|ALAMEDA|No
A-1 SERVICE|A|31427|CANCELLED||CASTRO VALLEY|94546|ALAMEDA|A-1 SERVICE|MAJOR APPLIANCE REPAIR|31427|CANCELLED Definition|August    31, 1996|June      26, 1973|CASTRO VALLEY|CA|94546|ALAMEDA|No
A-1 TV & ELECTRONICS|E|22610|CANCELLED||OAKLAND|94601|ALAMEDA|A-1 TV & ELECTRONICS|ELECTRONIC REPAIR|22610|CANCELLED Definition|April     30, 1999|July      13, 1983|OAKLAND|CA|94601|ALAMEDA|No
A-1 TV & ELECTRONICS|E|76591|CLEAR||OAKLAND|94601|ALAMEDA|A-1 TV & ELECTRONICS|ELECTRONIC REPAIR|76591|CLEAR Definition|July      31, 2015|July      02, 1998|OAKLAND|CA|94601|ALAMEDA|No
A-A TV CENTER|E|22582|CANCELLED||OAKLAND|94609|ALAMEDA|A-A TV CENTER|ELECTRONIC REPAIR|22582|CANCELLED Definition|June      30, 1989|OAKLAND|CA|94609|ALAMEDA|No
A-ABLE APPLIANCE|A|40171|CANCELLED||DUBLIN|94568|ALAMEDA|A-ABLE APPLIANCE|MAJOR APPLIANCE REPAIR|40171|CANCELLED Definition|June      30, 1991|February  20, 1990|DUBLIN|CA|94568|ALAMEDA|No
A-M SERVICES HEATING & AIR COND|A|44096|CANCELLED||HAYWARD|94545|ALAMEDA|A-M SERVICES HEATING & AIR COND|MAJOR APPLIANCE REPAIR|44096|CANCELLED Definition|January   31, 2005|January   23, 2004|HAYWARD|CA|94545|ALAMEDA|No
A-PLUS PRINTER SERVICES|E|74893|CLEAR||SAN LEANDRO|94578|ALAMEDA|A-PLUS PRINTER SERVICES|ELECTRONIC REPAIR|74893|CLEAR Definition|August    31, 2015|August    12, 1996|SAN LEANDRO|CA|94578|ALAMEDA|No
