license_number|company_flag|dba|address1|city|state|zip|county|phone|licensee_type_cd|expiration_date|number_type
WV000002|FERGUSON BROTHERS HEAT & PLUMB CO|FERGUSON BROTHERS HEAT & PLUMB CO|912 MADISON AVE # 9127|HUNTINGTON|WV|257042522|06|304-522-8371|A B C D F G H |11/16/2015|License Number
WV000004|H E NEUMANN COMPANY|H E NEUMANN COMPANY|PO BOX 6208|WHEELING|WV|26003|35|304-232-3040|A B C D E F G H I 999 |8/7/2015|License Number
WV000005|PROGRESSIVE ELECTRIC INC|PROGRESSIVE ELECTRIC INC|PO BOX 3695|CHARLESTON|WV|25336|20|304-345-1253|A B D I 007 014 019 064 |9/11/2015|License Number
WV000006|MURRAYS SHEET METAL CO INC|MURRAYS SHEET METAL CO INC|3112-7TH STREET|PARKERSBURG|WV|261013846|54|304-422-5431| B C D F G I 010 |1/22/2016|License Number
WV000007|ORDERS CONSTRUCTION COMPANY INC|ORDERS CONSTRUCTION COMPANY INC|501 6TH AVENUE POST OFFICE BOX 1448|ST ALBANS|WV|251772842|20|304-722-4237| C I 999 |8/2/2015|License Number
WV000008|J E WHITE CONSTRUCTION COMPANY|J E WHITE CONSTRUCTION COMPANY|1578 KANAWHA BLVD E APT 4A|CHARLESTON|WV|253112452|20|304-549-8046| B E H |10/21/2015|License Number
WV000009|LOWE BROTHERS ELECTRIC CO INC|LOWE BROTHERS ELECTRIC CO INC|1907 S KANAWHA ST|BECKLEY|WV|258016714|41|304-253-8328|A B G I 001 999 |10/1/2015|License Number
WV000010|WINFIELD STROCK|WINFIELD STROCK|3410 CHESTERFIELD AVE|CHARLESTON|WV|25304|20|304-550-2318| B |3/27/2016|License Number
WV000011|MAYNARD C SMITH CONSTRUCTION CO INC|MAYNARD C SMITH CONSTRUCTION CO INC|PO BOX 11888|CHARLESTON|WV|253391888|20|304-925-3190| B |1/20/2016|License Number
WV000030|RICHARD L GANDY|RICHARD L GANDY ELECTRIC|61 GANDY MOUNTAIN RD|CHARLESTON|WV|253129311|20|304-776-6942|A |11/19/2015|License Number
WV000040|WITHROW CONTRACTORS LLC|WITHROW CONTRACTORS LLC|3116 31ST STREET #C|NITRO|WV|25143|20|304-755-4300|A B D E F G H |9/9/2015|License Number
WV000052|THOMAS A CARLYLE|TOMS GENERAL CONTRACTING|448 ROSE HILL ROAD|GRAFTON|WV|263549336|46|304-265-4609| B H I 999 010 007 009 002 |8/1/2015|License Number
WV000053|VALLEY GENERAL CONTRACTING INC|VALLEY GENERAL CONTRACTING INC|PO BOX 2030|FAIRMONT|WV|265552030|25|304-296-0016|A B C D E F G H I 999 010 001 009 |8/1/2015|License Number
WV000055|R NICK NULL|NULLS CONSTRUCTION|PO BOX 943|WAR|WV|248920943|24|304-875-4706|A D G H I 999 004 010 007 009 |2/4/2016|License Number
WV000056|MINGHINIS GENERAL CONTRACTORS INC|MINGHINIS GENERAL CONTRACTORS INC|51 TRUMPET LANE|MARTINSBURG|WV|25404|02|304-263-9988| B E F G H I 999 001 007 010 002 |8/1/2015|License Number
WV000057|THOMAS BAILES CONTRACTING CO INC|THOMAS BAILES CONTRACTING CO INC|334 WISEMAN RD|SUMMERSVILLE|WV|266511635|34|304-872-1448|A B E F G H I 002 |8/1/2015|License Number
WV000061|HARRY W TRUSHEL CONSTRUCTION COMPAN|HARRY W TRUSHEL CONSTRUCTION COMPAN|PO BOX 368|WEIRTON|WV|260620368|15|304-797-7000| B |8/1/2015|License Number
WV000065|ADVANCE REFRIGERATION|ADVANCE REFRIGERATION|506 LITTLE CREEK TRAIL|BERKELEY SPRINGS|WV|25411|33|304-258-3970| D |8/6/2015|License Number
