2015/04/03 10:48:59 - gen.res_b_WVdlc - INFO -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  - 
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000002', 'FERGUSON BROTHERS HEAT & PLUMB CO', 'FERGUSON BROTHERS HEAT & PLUMB CO', '912 MADISON AVE # 9127', 'HUNTINGTON', u'WV', u'257042522', u'06', u'304-522-8371', u'A B C D F G H ', u'11/16/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000004', 'H E NEUMANN COMPANY', 'H E NEUMANN COMPANY', 'PO BOX 6208', 'WHEELING', u'WV', u'26003', u'35', u'304-232-3040', u'A B C D E F G H I 999 ', u'8/7/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000005', 'PROGRESSIVE ELECTRIC INC', 'PROGRESSIVE ELECTRIC INC', 'PO BOX 3695', 'CHARLESTON', u'WV', u'25336', u'20', u'304-345-1253', u'A B D I 007 014 019 064 ', u'9/11/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000006', 'MURRAYS SHEET METAL CO INC', 'MURRAYS SHEET METAL CO INC', '3112-7TH STREET', 'PARKERSBURG', u'WV', u'261013846', u'54', u'304-422-5431', u' B C D F G I 010 ', u'1/22/2016', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000007', 'ORDERS CONSTRUCTION COMPANY INC', 'ORDERS CONSTRUCTION COMPANY INC', '501 6TH AVENUE POST OFFICE BOX 1448', 'ST ALBANS', u'WV', u'251772842', u'20', u'304-722-4237', u' C I 999 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000008', 'J E WHITE CONSTRUCTION COMPANY', 'J E WHITE CONSTRUCTION COMPANY', '1578 KANAWHA BLVD E APT 4A', 'CHARLESTON', u'WV', u'253112452', u'20', u'304-549-8046', u' B E H ', u'10/21/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000009', 'LOWE BROTHERS ELECTRIC CO INC', 'LOWE BROTHERS ELECTRIC CO INC', '1907 S KANAWHA ST', 'BECKLEY', u'WV', u'258016714', u'41', u'304-253-8328', u'A B G I 001 999 ', u'10/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000010', 'WINFIELD STROCK', 'WINFIELD STROCK', '3410 CHESTERFIELD AVE', 'CHARLESTON', u'WV', u'25304', u'20', u'304-550-2318', u' B ', u'3/27/2016', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000011', 'MAYNARD C SMITH CONSTRUCTION CO INC', 'MAYNARD C SMITH CONSTRUCTION CO INC', 'PO BOX 11888', 'CHARLESTON', u'WV', u'253391888', u'20', u'304-925-3190', u' B ', u'1/20/2016', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000030', 'RICHARD L GANDY', 'RICHARD L GANDY ELECTRIC', '61 GANDY MOUNTAIN RD', 'CHARLESTON', u'WV', u'253129311', u'20', u'304-776-6942', u'A ', u'11/19/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000040', 'WITHROW CONTRACTORS LLC', 'WITHROW CONTRACTORS LLC', '3116 31ST STREET #C', 'NITRO', u'WV', u'25143', u'20', u'304-755-4300', u'A B D E F G H ', u'9/9/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000052', 'THOMAS A CARLYLE', 'TOMS GENERAL CONTRACTING', '448 ROSE HILL ROAD', 'GRAFTON', u'WV', u'263549336', u'46', u'304-265-4609', u' B H I 999 010 007 009 002 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000053', 'VALLEY GENERAL CONTRACTING INC', 'VALLEY GENERAL CONTRACTING INC', 'PO BOX 2030', 'FAIRMONT', u'WV', u'265552030', u'25', u'304-296-0016', u'A B C D E F G H I 999 010 001 009 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000055', 'R NICK NULL', 'NULLS CONSTRUCTION', 'PO BOX 943', 'WAR', u'WV', u'248920943', u'24', u'304-875-4706', u'A D G H I 999 004 010 007 009 ', u'2/4/2016', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000056', 'MINGHINIS GENERAL CONTRACTORS INC', 'MINGHINIS GENERAL CONTRACTORS INC', '51 TRUMPET LANE', 'MARTINSBURG', u'WV', u'25404', u'02', u'304-263-9988', u' B E F G H I 999 001 007 010 002 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000057', 'THOMAS BAILES CONTRACTING CO INC', 'THOMAS BAILES CONTRACTING CO INC', '334 WISEMAN RD', 'SUMMERSVILLE', u'WV', u'266511635', u'34', u'304-872-1448', u'A B E F G H I 002 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000061', 'HARRY W TRUSHEL CONSTRUCTION COMPAN', 'HARRY W TRUSHEL CONSTRUCTION COMPAN', 'PO BOX 368', 'WEIRTON', u'WV', u'260620368', u'15', u'304-797-7000', u' B ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000065', 'ADVANCE REFRIGERATION', 'ADVANCE REFRIGERATION', '506 LITTLE CREEK TRAIL', 'BERKELEY SPRINGS', u'WV', u'25411', u'33', u'304-258-3970', u' D ', u'8/6/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000066', 'C J HUGHES CONSTRUCTION CO INC', 'C J HUGHES CONSTRUCTION CO INC', 'PO BOX 7305', 'HUNTINGTON', u'WV', u'257767305', u'06', u'304-522-3868', u' C ', u'10/15/2015', 'License Number']
