licensee_type_cd|number_type|license_number|entity_name|last update|county|address1|city|state|zip|expiration_date|phone|fax
Licensed Lead Contractors|License Number|539|3D Contracting Inc|6/2/2014|Cook|8232 W. 47th Street|Lyons|IL|60534||(847) 421-7803|
Licensed Lead Contractors|License Number|378|A & A ABATEMENT LLC|5/22/2014|PERRY|849 WELLS STREET ROAD|DuQUOIN|IL|62832||(618) 318-5932|(618) 542-9890
Licensed Lead Contractors|License Number|365|A & B Environmental Construction Inc.|6/25/2014||205 E North Avenue|North Lake|IL|60164||(708)-344-0190|(708)-344-0195
Licensed Lead Contractors|License Number|334|A.B.C. Environmental & Construction Inc.|5/8/2013|Cook|1024 W. 103Rd Pl.|Chicago|IL|60643||(773) 310-2950|(773)-429-1656
Licensed Lead Contractors|License Number|364|A-1 Construction & Contracting Inc.|5/7/2013|Cook|13636 S. Western Ave.|Blue Island|IL|60406||(708)-396-1388|(708)-396-1335
Licensed Lead Contractors|License Number|453|A2Z Home Improvements|4/7/2014|McDonough|NA|Adair|IL|61411||NA|NA
Licensed Lead Contractors|License Number|565|Abate-All Maintenance and Construction|6/2/2014||5 East Carriage Way Suite 111|Hazelcrest|IL|60429||(773) 719-5255|(708) 957-8045
Licensed Lead Contractors|License Number|184|Abatement Management Inc.|5/2/2014|Madison|6990 State Route 111|S. Roxana|IL|62087||(618)-254-2540|(618)-254-2540
Licensed Lead Contractors|License Number|531|Abatement Specialities LLC|5/28/2014|OUT OF STATE|1814 E Avenue NE|Cedar Rapids|IA|52402||(563) 243-6141|(563) 243-6146
Licensed Lead Contractors|License Number|376|ABET CONSTRUCTION INC.|4/15/2014|COOK|4921 NORTH KNIGHT AVENUE|NORRIDGE|IL|60706||(773)-427-4942|(773)-427-4942
Licensed Lead Contractors|License Number|417|ABG Enterprise Inc.|4/23/2014||3258 N US RT 45152|Chabanse|IL|60922||(815) 573-3261|
Licensed Lead Contractors|License Number|286|Accurate Environmental Solutions Inc.|4/7/2014|Cook|524 Homeland Rd.|Matteson|IL|60443||(773)-406-7535|(708) 248-6427
Licensed Lead Contractors|License Number|500|ACCURATE GENERAL CONTRACTORS LTD.|4/14/2014|COOK|4440 N. KOSTNER AVE.|CHICAGO|IL|60630||(773) 594-1122|(773) 594-1133
Licensed Lead Contractors|License Number|153|Ace Remodeling Co.|5/19/2014|Cook|P.O. Box 6245|Chicago|IL|60680||(312)-733-6668|(312)-733-1158
Licensed Lead Contractors|License Number|372|ACROSS Environmental Inc.|4/29/2014|Mc Henry|214 OAKLEAF ROAD|LAKE IN THE HILLS|IL|60156||(630) 540-9722|(630) 540-9732
Licensed Lead Contractors|License Number|351|ADM Construction Inc.|5/27/2014|Cook|15154 Meadow Ln.|Dolton|IL|60419||(708)-841-8535|(708)-841-9039
Licensed Lead Contractors|License Number|320|Advanced Environmental Testing and Abatement Inc.|4/22/2014|Out of State|803 Ricker St.|Waterloo|IA|50703||(319) 287-4447|(319)-287-4449
Licensed Lead Contractors|License Number|444|Advanced Lead Contractors|5/8/2013|Peoria|4720 N. Koerner Rd.|Peoria|IL|61615||(309) 208-1595|
Licensed Lead Contractors|License Number|473|AES Environmental Inc.|5/19/2014|Cook|117 S. Cook St. #320|Barrington|IL|60010||(847) 980-5243|(847) 381-8094
Licensed Lead Contractors|License Number|556|ALL ENVIRONMENTAL SAFETY CORP|5/19/2014|COOK|15941 HARLEM AVENUE # 256|TINLEY PARK|IL|60477||(312) 730-4021|
Licensed Lead Contractors|License Number|343|ALLIANCE ENVIRONMENTAL CONTROL INC.|9/13/2013|Cook|18050 EXCHANGE AVENUE|LANSING|IL|60438|5/31/2005|(708)-878-9876|(708)-895-9524
Licensed Lead Contractors|License Number|549|AMERI ENVIRONMENTAL INC.|5/13/2013|COOK|17930 CHAPPEL AVENUE|LANSING|IL|60438||(708) 474-8801|(708) 474-8802
Licensed Lead Contractors|License Number|253|American Environmental Solutions Inc.|4/15/2014|Cook|117 S. cook St. Ste. #320|Barrington|IL|60010||(847)-980-5243|(847) 381-8094
Licensed Lead Contractors|License Number|541|AMES CONSTRUCTION|3/18/2014|COOK|445 EAST OHIO STREET SUITE 420|CHICAGO|IL|60611||(773) 379-2637|(312) 321-9325
Licensed Lead Contractors|License Number|305|Angel Abatement LLC|4/10/2014|Cook|NA|Glenwood|IL|60425||NA|NA
Licensed Lead Contractors|License Number|555|APD ENVIRONMENTAL INC|9/10/2013|DUPAGE|1305 S VILLA AVE|VILLA PARK|IL|60181||(630) 516-1850|(630) 516-1851
Licensed Lead Contractors|License Number|431|APOLLO PAINTING CONTRACTORS|11/27/2013|COOK|3434 WEST 76TH PLACE|CHICAGO|IL|60652||(309) 676-1899|(309) 676-5061
Licensed Lead Contractors|License Number|554|AQUARIUS CONSTRUCTION INC|7/9/2014|COOK|2516 DAVISSON STREET|RIVER GROVE|IL|60171||(773) 934-5000|(708) 456-0338
Licensed Lead Contractors|License Number|275|ARC Environmental Inc.|4/9/2014|Cook|NA|Chicago|IL|60630||NA|NA
Licensed Lead Contractors|License Number|520|ARC INSULATION|4/7/2014|WILL|NA|ROMEOVILLE|IL|60446||NA|NA
Licensed Lead Contractors|License Number|385|Arcos Environmental Services Inc.|4/7/2014||7413 Duvan Dr. Unit #2|Tinely Park|IL|60477||(708) 444-0500|(708) 444-0502
Licensed Lead Contractors|License Number|377|A's B's ENVIRSTRUCT INC.|5/21/2014|Cook|NA|CHICAGO|IL|60628||NA|NA
Licensed Lead Contractors|License Number|85|Asbestos Lead Removal Inc.|4/7/2014|Champaign|6 Julie Dr.|Ludlow|IL|60949||(217)-379-6016|(217)-379-2185
Licensed Lead Contractors|License Number|529|Atlantic Plant Services LLC|5/7/2014|OUT OF STATE|NA|Houston|TX|77064||NA|NA
Licensed Lead Contractors|License Number|182|Axis Response Group LLC|4/14/2014|Cook|NA|Glenview|IL|60025||NA|NA
Licensed Lead Contractors|License Number|345|B&H Lead Abatement Contractors|4/16/2014|Cook|7156 W. 127th St. Ste. #146|Palos Heights|IL|60463||(708)-363-5681|(708) 922-1827
Licensed Lead Contractors|License Number|288|B. B. Construction Enterprise Inc.|4/24/2014|Cook|1821 West 51st Street|Chicago|IL|60609||(773)-436-9830|(773)-436-9833
Licensed Lead Contractors|License Number|532|B.C.M.W. COMMUNITY SERVICES INC.|5/19/2014|NARION|1261 GARY|CENTRALIA|IL|62801||(618) 533-6630|(618) 533-5530
Licensed Lead Contractors|License Number|340|BAIN ENVIRONMENTAL INC.|6/12/2014|COOK|5354 N. PAULINA ST.|CHICAGO|IL|60640||(773)-728-0900|(773)-728-0145
Licensed Lead Contractors|License Number|495|Bay Remediation LLC|7/11/2014|Cook|P.O. Box 46036|Chicago|IL|60646||(773) 774-0051|
Licensed Lead Contractors|License Number|570|Bearce Construction & Siding|4/24/2014|McDonough|609 West Washington Street|Macomb|IL|61455||(309) 588-4172|
Licensed Lead Contractors|License Number|64|Beckwith Enterprises Inc.|5/9/2013|Cook|111 Thatcher Ave.|River Forest|IL|60305||(708)-366-7759|(708)-366-7794
