license_number|Old License|expiration_date|entity_name|address1|city|state|zip|phone|primary_specialty|company_flag
54831||Jul 31, 2015|"A to Z" Restoration Environmental Contractor, Inc.|40-45 99 St|Corona|NY|11368|718-606-0219|abatement; |1
63996||Mar 31, 2016|123 New York Corporation|52-29 74th St.|Elmhurst|NY|11373|347-730-6259|abatement; |1
28586|99-1047|Oct 30, 2015|192 Branch Interior Services, Inc.|119 Gary Way|Ronkonkoma|NY|11779|631-467-6600|abatement; management planning; project designinspectionair monitoring|1
67122||Jan 31, 2016|1st Responders Group Corp.|2266 Bath Ave.|Brooklyn|NY|11214|718-600-6802|abatement; |1
74227||Dec 31, 2015|2 Saab Construction Inc|3084 Coney Island Ave.|Brooklyn|NY|11235|718-769-4592|abatement; |1
29564|05-0249|May 31, 2015|212 Services, LLC|167 Opal Street|Elmont|NY|11003|917-601-8832|abatement; project designinspectionair monitoring|1
62446||Nov 30, 2015|31 Realty Development LLC|31 Southview Circle|Lake Grove|NY|11755|646-201-0171|inspection|1
59563||May 31, 2015|3E Environmental Inc.|1415 Avenue O|Brooklyn|NY|11223|646-387-3667|abatement; management planning; project designinspectionair monitoring|1
29631|07-0281|Apr 30, 2015|56 Services, Inc.|P.O. Box 561|Buffalo|NY|14213|716-341-8601|project designinspectionair monitoring|1
71101||May 31, 2015|7 Brothers Inc.|208 Blake Ave.|Bohemia|NY|11716|631-467-0077|abatement; |1
78862||Sep 30, 2015|911 Homesavers, L.L.C.|701 Crans Street|Elmont|NY|11003|718-812-9042|abatement; management planning; project designinspectionair monitoring|1
58697||Apr 30, 2015|A & A Building Consultants, Inc.|60-24 Flushing Ave.|Maspeth|NY|11378|718-326-2924|inspection|1
41803||Dec 31, 2015|A & A Consulting Engineer, P.C.|125-10 Queens Blvd|Kew Gardens|NY|11415|718-544-7878|inspection|1
68778||Oct 31, 2015|A & B Inspection Services, Corp|P.O. Box 920374|Arverne|NY|11692|516-304-8093|abatement; management planning; project designinspectionair monitoring|1
29390|03-0398|May 31, 2015|A B Construction & Roofing, Inc|2586 Main Street|Whitney Point|NY|13862|607-692-2858|abatement; |1
28774|01-0285|May 31, 2015|A Quest Corporation|159 42nd St.|Brooklyn|NY|11232|718-965-4866|abatement; management planning; project designinspectionair monitoring|1
69974||Mar 31, 2016|A Team Remediation LLC|786 Terrace Boulevard|Depew|NY|14043|716-247-5007|abatement; |1
63298||Feb 29, 2016|A Zone Corp|2785 West 16th Street|Brooklyn|NY|11224|646-770-0167|inspectionair monitoring|1
57734||Apr 30, 2015|A to Z Insulation|54 Cunard Rd.|Buffalo|NY|14216|716-472-9018|abatement; |1
58440||May 31, 2015|A+ Asbestos Control, Inc.|40-45 68 Street|Woodside|NY|11377|718-371-8360|inspection|1
59193||Apr 30, 2015|A+ Asbestos Control, Inc.|40-45 68 Street|Woodside|NY|11377|718-371-8360|inspection|1
59193||Apr 30, 2015|A+ Asbestos Control, Inc.|40-45 68 Street|Woodside|NY|11377|718-371-8360|inspection|1
59193||Apr 30, 2015|A+ Asbestos Control, Inc.|40-45 68 Street|Woodside|NY|11377|718-371-8360|inspection|1
